month_year,Afghanistan Conflict,Boko Haram Insurgency (Nigeria),Burkinabe Insurgency,Cameroonian Anglophone Crisis,Colombian Conflict,Israel-Palestine Conflict,Kashmir Conflict (India/Pakistan),Kivu Conflict (DRC),Libyan Civil War,Malian Conflict,Mozambican Insurgency,Myanmar Civil War,Nagorno-Karabakh Conflict,Russian Invasion of Ukraine,Somali Civil War,South Sudanese Civil War,Sudanese Conflict,Syrian Civil War,Tigray War (Ethiopia),Yemeni Civil War
2023-08,27,2,0,2,18,1,1,4,21,30,7,11,3,23,8,5,27,24,16,8
2023-09,66,2,12,9,64,28,30,10,139,50,7,66,383,129,22,23,106,57,36,46
2023-10,128,5,2,5,149,1164,34,20,43,58,5,53,157,88,37,13,124,97,22,72
2023-11,98,6,3,9,159,506,21,17,26,51,5,122,47,107,26,8,128,70,41,76
2023-12,73,2,9,3,84,258,35,37,21,33,6,109,57,110,39,9,128,52,18,105
2024-01,60,4,4,6,103,266,34,15,26,53,8,122,27,153,54,26,97,85,27,277
2024-02,65,1,7,7,90,288,21,48,25,40,5,96,54,383,42,7,100,81,32,88
2024-03,132,15,7,6,92,284,21,12,31,32,16,59,36,214,36,19,151,87,33,87
2024-04,100,11,21,2,346,467,25,29,57,43,10,155,61,170,50,25,233,150,18,79
2024-05,127,27,5,3,221,647,46,19,26,50,24,115,50,233,37,15,162,87,17,68
2024-06,109,18,3,4,111,166,34,10,35,48,20,107,27,226,44,20,174,86,16,79
2024-07,171,15,7,4,195,447,58,28,117,165,9,201,36,1144,53,38,275,211,30,161
