ownership,Afghanistan Conflict,Boko Haram Insurgency (Nigeria),Burkinabe Insurgency,Cameroonian Anglophone Crisis,Colombian Conflict,Israel-Palestine Conflict,Kashmir Conflict (India/Pakistan),Kivu Conflict (DRC),Libyan Civil War,Malian Conflict,Mozambican Insurgency,Myanmar Civil War,Nagorno-Karabakh Conflict,Russian Invasion of Ukraine,Somali Civil War,South Sudanese Civil War,Sudanese Conflict,Syrian Civil War,Tigray War (Ethiopia),Yemeni Civil War
"Independent, non-profit international research institute.",11,0,0,0,6,10,7,0,2,1,0,31,4,30,1,0,16,8,2,1
Operated by The Lawfare Institute in cooperation with the Brookings Institution.,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"Published by Chatham House, an independent policy institute.",1,0,0,3,4,4,0,1,1,1,0,5,0,6,0,0,1,4,0,1
"Published by the Council on Foreign Relations, a non-profit think tank.",4,0,0,0,8,50,3,0,2,4,0,13,7,31,1,3,13,3,7,14
non-profit organization,65,6,1,10,94,263,32,13,58,42,7,77,53,118,57,20,97,78,39,67
privately owned,748,89,32,15,1296,3270,240,114,441,402,81,918,641,2190,319,157,1131,700,193,867
state-funded,12,2,2,6,24,56,3,28,3,20,5,39,28,76,10,10,46,9,5,17
state-funded but independently operated,44,6,22,10,27,240,12,36,14,39,23,59,82,141,14,10,111,36,30,37
state-owned,268,5,23,16,173,585,63,57,45,144,6,66,122,363,45,7,283,248,27,141
state-owned but independently operated,2,0,0,0,0,44,0,0,1,0,0,8,1,23,0,1,7,1,3,1
